topic_id,topic_label,social_class,rank,s3_theta_rank,theta,query
0,Document Summarization,Upper class,4,12.0,0.7273,Can you explain the latest advancements in artificial intelligence?
0,Document Summarization,Upper class,5,19.0,0.6677,Can you summarize the plot of The Great Gatsby?
0,Document Summarization,Upper class,6,21.0,0.6677,Can you summarize the main ideas from Atomic Habits by James Clear?
0,Document Summarization,Upper class,7,22.0,0.6677,"in not more 200 words, i would like to know about the asian tigers"
0,Document Summarization,Upper class,8,34.0,0.5791,Can you summarize this article for me?
0,Document Summarization,Upper class,9,46.0,0.6193,replace the word paradigm with its synonyms in the essay
0,Document Summarization,Upper class,10,48.0,0.6677,Mets free agent signings
0,Document Summarization,Upper class,11,50.0,0.5791,What is the meaning of kinky?
0,Document Summarization,Upper class,12,64.0,0.6677,"Using an appropriate diagram, explain how RPC is implemented"
0,Document Summarization,Upper class,13,65.0,0.6677,crime analysis with data
0,Document Summarization,Upper class,14,67.0,0.5791,I use it for language translation
0,Document Summarization,Upper class,15,75.0,0.5937,Backpacks vs. Briefcases: Steps toward Rhetorical Analysis Laura Bolin Carroll                                                                                                                                                                                         Write summary of this Rehtorical Analysis
0,Document Summarization,Upper class,16,81.0,0.5791,Summarise the following in 500 words or less
0,Document Summarization,Upper class,17,86.0,0.5791,Could you explain how a blockchain works in simple terms?
0,Document Summarization,Upper class,18,96.0,0.5791,Explain to me what a TFSA is like I'm 10
0,Document Summarization,Upper class,19,109.0,0.5791,What are the best practices for philosophy
0,Document Summarization,Upper class,20,110.0,0.5791,What are the most common mistakes people make in interviews?
